Category: All categories
TOP
song,100
songs,67
music,65
tiktok,39
roblox,27
minecraft,26
halloween,25
nba,25
asmr,24
cocomelon,23
fortnite,18
fnf,17
football,17
nba youngboy,16
dhar mann,16
squid game,15
gacha life,15
mrbeast,14
youtube,13
sssniperwolf,12
lil baby,11
lil durk,11
blippi,11
coryxkenshin,11
rod wave,10

RISING
poppy playtime,"+3,000%"
island boy,"+2,200%"
rap freaks,"+1,500%"
better days polo g,"+1,150%"
canelo vs plant,+650%
adele easy on me,+550%
batman trailer,+400%
better days,+350%
christmas music,+300%
summer walker,+300%
christmas songs,+250%
travis scott,+250%
adele,+150%
shiba inu,+140%
michael myers,+120%
squid game song,+120%
who want smoke,+120%
sam and colby,+120%
buzzfeed unsolved,+120%
helluva boss,+110%
kreekcraft,+110%
shiba inu coin,+100%
halloween songs,+80%
animal crossing,+70%
halloween,+60%

